artist_name,canonical_artist_name,canonical_album_title,album_title,primary_artist,release_year,first_release_date,label,format,catalog_number,source_site,source_url,artwork_url,confidence,notes
Jeff Berlin,Jeff Berlin,capricorn princess,Capricorn Princess,Esther Phillips,1976,,,,,discogs,https://api.discogs.com/masters/10879,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,end of a rainbow,End Of A Rainbow,Patti Austin,1976,,CTI Records,"Cass, Album",,discogs,https://api.discogs.com/releases/31730237,,medium,discogs type=release role=Appearance
Jeff Berlin,Jeff Berlin,shoogie wanna boogie,Shoogie Wanna Boogie,David Matthews* With Whirlwind,1976,,,,,discogs,https://api.discogs.com/masters/211273,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,the story of i,The Story Of i,Patrick Moraz,1976,,,,,discogs,https://api.discogs.com/masters/18035,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,eye of the beholder,Eye Of The Beholder,Barretto*,1977,,,,,discogs,https://api.discogs.com/masters/288308,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,home in the country,Home In The Country,Pee Wee Ellis,1977,,,,,discogs,https://api.discogs.com/masters/429667,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,light n up please,"Light'n Up, Please!",David Liebman,1977,,,,,discogs,https://api.discogs.com/masters/211716,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,pure as rain,Pure As Rain,Gil Goldstein,1977,,,,,discogs,https://api.discogs.com/masters/2259349,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,satanic,Satanic,Ernie Krivda & Friends,1977,,,,,discogs,https://api.discogs.com/masters/1460524,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,feels good to me,Feels Good To Me,Bruford,1978,,,,,discogs,https://api.discogs.com/masters/199409,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,mixed roots,Mixed Roots,Al Foster,1978,,,,,discogs,https://api.discogs.com/masters/289214,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,montreux concert,Montreux Concert,Don Pullen,1978,,,,,discogs,https://api.discogs.com/masters/528976,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,fainting in coils,Fainting In Coils,Bill Bruford,1979,,,,,discogs,https://api.discogs.com/masters/874084,,medium,discogs type=master role=UnofficialRelease
Jeff Berlin,Jeff Berlin,jolis simone,Jolis & Simone,Jolis & Simone,1979,,,,,discogs,https://api.discogs.com/masters/1672020,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,just as i thought,Just As I Thought,David Sancious,1979,,,,,discogs,https://api.discogs.com/masters/370409,,medium,discogs type=master role=Appearance
Jeff Berlin,Jeff Berlin,matter of time,Matter of Time,Jeff Berlin,1979,1979,,,,musicbrainz,https://musicbrainz.org/release-group/cb5a9d07-8e5a-4cdd-bf9c-4cf8442f48e1,https://coverartarchive.org/release-group/cb5a9d07-8e5a-4cdd-bf9c-4cf8442f48e1/front,medium,primary_type=Single
Jeff Berlin,Jeff Berlin,one of a kind,One Of A Kind,Bruford,1979,,,,,discogs,https://api.discogs.com/masters/185920,,medium,discogs type=master role=Appearance
