artist_name,image_url,source_page_url,source_site,page_title,alt_text,caption_or_context,width,height,confidence,notes
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/0/06/-086_-_Berlin_%2825779915220%29.jpg,https://commons.wikimedia.org/wiki/File:-086 - Berlin (25779915220).jpg,wikimedia commons,File:-086 - Berlin (25779915220).jpg,File:-086 - Berlin (25779915220).jpg,commons search result,2448,2448,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/a/a0/2023-12-31_ALBA_Berlin_gegen_Niners_Chemnitz_%28Basketball-Bundesliga_2023-24%29_by_Sandro_Halank%E2%80%93004.jpg,https://commons.wikimedia.org/wiki/File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–004.jpg,wikimedia commons,File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–004.jpg,File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–004.jpg,commons search result,2486,2715,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/1/1d/2023-12-31_ALBA_Berlin_gegen_Niners_Chemnitz_%28Basketball-Bundesliga_2023-24%29_by_Sandro_Halank%E2%80%93009.jpg,https://commons.wikimedia.org/wiki/File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–009.jpg,wikimedia commons,File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–009.jpg,File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–009.jpg,commons search result,2083,1704,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/6/6d/2023-12-31_ALBA_Berlin_gegen_Niners_Chemnitz_%28Basketball-Bundesliga_2023-24%29_by_Sandro_Halank%E2%80%93048.jpg,https://commons.wikimedia.org/wiki/File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–048.jpg,wikimedia commons,File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–048.jpg,File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–048.jpg,commons search result,2089,1948,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/1/13/2023-12-31_ALBA_Berlin_gegen_Niners_Chemnitz_%28Basketball-Bundesliga_2023-24%29_by_Sandro_Halank%E2%80%93062.jpg,https://commons.wikimedia.org/wiki/File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–062.jpg,wikimedia commons,File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–062.jpg,File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–062.jpg,commons search result,3051,2375,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/a/a2/2023-12-31_ALBA_Berlin_gegen_Niners_Chemnitz_%28Basketball-Bundesliga_2023-24%29_by_Sandro_Halank%E2%80%93065.jpg,https://commons.wikimedia.org/wiki/File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–065.jpg,wikimedia commons,File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–065.jpg,File:2023-12-31 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2023-24) by Sandro Halank–065.jpg,commons search result,3205,3178,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/6/60/2024-10-20_ALBA_Berlin_gegen_Niners_Chemnitz_%28Basketball-Bundesliga_2024-25%29_by_Sandro_Halank%E2%80%93086.jpg,https://commons.wikimedia.org/wiki/File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–086.jpg,wikimedia commons,File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–086.jpg,File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–086.jpg,commons search result,2395,2812,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/8/8f/2024-10-20_ALBA_Berlin_gegen_Niners_Chemnitz_%28Basketball-Bundesliga_2024-25%29_by_Sandro_Halank%E2%80%93018.jpg,https://commons.wikimedia.org/wiki/File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–018.jpg,wikimedia commons,File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–018.jpg,File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–018.jpg,commons search result,2990,3225,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/b/b5/2024-10-20_ALBA_Berlin_gegen_Niners_Chemnitz_%28Basketball-Bundesliga_2024-25%29_by_Sandro_Halank%E2%80%93021.jpg,https://commons.wikimedia.org/wiki/File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–021.jpg,wikimedia commons,File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–021.jpg,File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–021.jpg,commons search result,3301,3726,medium,from wikimedia commons search
Jeff Berlin,https://upload.wikimedia.org/wikipedia/commons/5/58/2024-10-20_ALBA_Berlin_gegen_Niners_Chemnitz_%28Basketball-Bundesliga_2024-25%29_by_Sandro_Halank%E2%80%93034.jpg,https://commons.wikimedia.org/wiki/File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–034.jpg,wikimedia commons,File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–034.jpg,File:2024-10-20 ALBA Berlin gegen Niners Chemnitz (Basketball-Bundesliga 2024-25) by Sandro Halank–034.jpg,commons search result,1717,1930,medium,from wikimedia commons search
